id,lon,lat,uniq_ident,Z
10015,37.53602,55.78819,11.0,2.572864356071129
69102,37.656093,55.802981,11.0,2.572864356071129
99353,37.633892,55.764679,16.0,5.7595086755204425
63703,37.635351,55.752103000000005,15.0,4.286810397687177
96839,37.351732,55.670592,10.0,2.477262306025293
20666,37.598165,55.767144,15.0,7.177658862908002
29960,37.604582,55.642976000000004,10.0,2.1443778456671168
79910,37.855331,55.812357000000006,10.0,2.1443778456671168
50280,37.637589,55.676384,10.0,2.729636253933505
11854,37.642528,55.762754,17.0,5.143783418495202
97626,37.422911,55.813174000000004,9.0,2.477262306025293
69985,37.420172,55.917831,11.0,2.572864356071129
50287,37.592384,55.76191,16.0,4.547559706885668
54800,37.62637,55.743052000000006,21.0,6.85772946011125
77794,37.506133,55.746715,7.0,2.1236617696161173
50694,37.586958,55.76017,9.0,4.244572464726974
37687,37.614968000000005,55.759071000000006,13.0,5.456521433361749
49233,37.600852,55.768568,19.0,6.971457644155219
87273,37.417010000000005,55.567528,10.0,2.1443778456671168
97261,37.640938,55.809785000000005,10.0,2.229873013557782
77269,37.515767000000004,55.715885,9.0,2.229873013557782
99527,37.504106,55.679683000000004,10.0,2.1443778456671168
59262,37.63594,55.746013000000005,13.0,6.365483159837831
35889,37.456429,55.898818000000006,10.0,2.1236617696161173
57829,37.652497000000004,55.670925000000004,10.0,2.1443778456671168
24057,37.619951,55.749833,15.0,7.274444886313912
97537,37.627179,55.741194,14.0,3.858323887283165
54979,37.61733,55.734554,15.0,4.286810397687177
97649,37.394105,55.854486,12.0,3.001350866475141
48388,37.620351,55.750126,19.0,7.274444886313912
76522,37.761508,55.688195,11.0,2.426649011774811
49612,37.386985,55.613848000000004,10.0,2.1443778456671168
34246,37.813232,55.848037000000005,10.0,2.1443778456671168
21815,37.355346000000004,55.612819,8.0,2.1236617696161173
66909,37.59076,55.753936,22.0,7.286215970515262
92976,37.442895,55.878637000000005,9.0,2.1236617696161173
41882,37.470241,55.788993000000005,8.0,2.229873013557782
80834,37.733034,55.919052,10.0,2.1236617696161173
49863,37.653155,55.742509000000005,10.0,2.729636253933505
10953,37.61905,55.744648000000005,11.0,4.244572464726974
76795,37.394578,55.744009000000005,10.0,2.1443778456671168
92404,37.614326,55.759228,15.0,5.456521433361749
52999,37.499474,55.627091,10.0,2.426649011774811
88477,37.445225,55.78866,10.0,2.1443778456671168
43340,37.555106,55.718344,40.0,14.998973157787479
65781,37.588455,55.745607,18.0,6.365483159837831
44463,37.619432,55.753425,15.0,5.153534191203056
81578,37.415637000000004,55.816544,9.0,2.1463555487930384
84415,37.615398,55.766112,11.0,3.6385979804095863
65417,37.612241000000004,55.747144000000006,11.0,2.572864356071129
51866,37.618469000000005,55.761142,19.0,6.365483159837831
60858,37.645456,55.740862,15.0,7.274444886313912
92692,37.539744,55.707372,9.0,2.1236617696161173
99872,37.614524,55.749717000000004,11.0,5.693323108102937
70543,37.38147,55.91344,10.0,2.1443778456671168
73597,37.590154,55.762462,11.0,5.445933815635426
80535,37.624731000000004,55.745981,15.0,7.274444886313912
93139,37.598926,55.743010000000005,14.0,3.858323887283165
92186,37.607615,55.768486,17.0,5.143783418495202
80651,37.515594,55.715771000000004,7.0,2.229873013557782
13204,37.592426,55.757929000000004,15.0,4.286810397687177
12755,37.841248,55.561304,10.0,2.1443778456671168
97068,37.640437,55.740531000000004,11.0,5.7595086755204425
40331,37.538415,55.835943,12.0,2.426649011774811
70469,37.629841,55.740209,17.0,5.143783418495202
